url,template,sessions,bots,scroll,activeSeconds,deadClicks,quickBacks
https://www.yourpropertyguide.com.au/guides/cgt-changes-2026-budget,guides,15,0,60,592,30,1
https://www.yourpropertyguide.com.au/,home,7,0,50,5,0,0
https://www.yourpropertyguide.com.au/guides/real-estate-commission-vic,guides,5,1,28,99,3,0
https://www.yourpropertyguide.com.au/suburbs/morayfield-qld-4506,suburb profile,5,0,69,217,1,3
https://www.yourpropertyguide.com.au/property-market/hobart,property-market,3,0,30,6,0,0
https://www.yourpropertyguide.com.au/suburbs,other,3,0,47,30,0,0
https://www.yourpropertyguide.com.au/market-reports/sa,market-reports,3,0,41,20,0,0
https://www.yourpropertyguide.com.au/suburbs/springfield-central-qld-4300?utm_source=chatgpt.com,suburb profile,2,0,44,66,0,0
https://www.yourpropertyguide.com.au/guides/bridging-loans-guide,guides,2,0,56,224,0,0
https://www.yourpropertyguide.com.au/selling-guide,other,2,0,47,41,0,0
https://www.yourpropertyguide.com.au/guides/property-management-fees-australia,guides,2,2,74,507,0,0
https://www.yourpropertyguide.com.au/property-market/brisbane,property-market,2,1,55,19,0,0
https://www.yourpropertyguide.com.au/suburbs/warana-qld-4575/schools,suburb schools,2,0,35,33,0,0
https://www.yourpropertyguide.com.au/suburbs/south-brighton-sa-5048/rental-market,suburb rental-market,2,0,20,8,0,0
https://www.yourpropertyguide.com.au/selling-guide?suburb=morayfield-qld-4506,other,2,0,49,272,4,0
https://www.yourpropertyguide.com.au/guides/how-to-negotiate-property-price-australia,guides,2,0,33,210,0,0
https://www.yourpropertyguide.com.au/guides/real-estate-agent-fees-australia,guides,2,0,17,39,0,0
https://www.yourpropertyguide.com.au/guides/cost-of-selling-a-house-australia,guides,2,0,53,119,1,0
https://www.yourpropertyguide.com.au/suburbs/bowral-nsw-2576/rental-market,suburb rental-market,2,0,22,0,0,0
https://www.yourpropertyguide.com.au/guides/smsf-property-guide,guides,2,0,39,657,0,0
https://www.yourpropertyguide.com.au/suburbs/engadine-nsw-2233,suburb profile,1,0,16,0,0,0
https://www.yourpropertyguide.com.au/real-estate-commission-calculator,calculators,1,0,100,677,0,0
https://www.yourpropertyguide.com.au/guides/nsw-building-reforms-prefab-modular-2026,guides,1,0,28,0,0,0
https://www.yourpropertyguide.com.au/suburbs/south-ripley-qld-4306,suburb profile,1,0,50,25,5,0
https://www.yourpropertyguide.com.au/guides/real-estate-commission-wa,guides,1,0,34,62,0,0
https://www.yourpropertyguide.com.au/cgt-calculator,calculators,1,0,25,90,1,1
https://www.yourpropertyguide.com.au/suburbs/hill-top-nsw-2575/vs/colo-vale-nsw-2575,suburb vs,1,0,56,134,0,0
https://www.yourpropertyguide.com.au/schools/macrobertson-girls-high-school-45437,schools,1,0,23,18,0,0
https://www.yourpropertyguide.com.au/guides/renters-rights-nsw,guides,1,2,30,359,0,0
https://www.yourpropertyguide.com.au/suburbs/loganlea-qld-4131,suburb profile,1,0,16,0,0,0
https://www.yourpropertyguide.com.au/guides/how-much-is-my-house-worth-australia,guides,1,0,68,55,1,0
https://www.yourpropertyguide.com.au/schools/mackillop-catholic-regional-college-46002/vs/werribee-secondary-college-45488,schools,1,0,80,23,0,0
https://www.yourpropertyguide.com.au/suburbs/west-lakes-sa-5021?utm_source=chatgpt.com,suburb profile,1,0,4,0,0,0
https://www.yourpropertyguide.com.au/suburbs/mansfield-park-sa-5012/rental-market,suburb rental-market,1,0,55,62,0,0
https://www.yourpropertyguide.com.au/suburbs/maryfarms-qld-4880/rental-market,suburb rental-market,1,0,14,1,0,0
https://www.yourpropertyguide.com.au/suburbs/warrnambool-vic-3280/rent,suburb rent,1,0,57,18,1,1
https://www.yourpropertyguide.com.au/suburbs/paradise-sa-5075,suburb profile,1,0,21,19,0,0
https://www.yourpropertyguide.com.au/find-your-suburb,other,1,0,47,33,1,0
https://www.yourpropertyguide.com.au/suburbs/toorak-vic-3142,suburb profile,1,0,6,2,0,0
https://www.yourpropertyguide.com.au/guides/real-estate-commission-nt,guides,1,0,5,45,0,0
https://www.yourpropertyguide.com.au/suburbs/rookhurst-nsw-2422?utm_source=chatgpt.com,suburb profile,1,0,5,6,0,0
https://www.yourpropertyguide.com.au/guides/stamp-duty-nt,guides,1,0,67,111,1,0
https://www.yourpropertyguide.com.au/suburbs/east-bowral-nsw-2576/rental-market,suburb rental-market,1,0,21,2,0,0
https://www.yourpropertyguide.com.au/schools/valkstone-primary-school-44840,schools,1,0,63,0,0,0
https://www.yourpropertyguide.com.au/suburbs/south-ripley-qld-4306/rental-market,suburb rental-market,1,0,50,37,3,1
https://www.yourpropertyguide.com.au/guides/real-estate-commission-vic?utm_source=chatgpt.com,guides,1,0,29,18,1,0
https://www.yourpropertyguide.com.au/suburbs/booleroo-centre-sa-5482/rental-market,suburb rental-market,1,0,64,49,4,0
https://www.yourpropertyguide.com.au/guides/real-estate-commission-nsw,guides,1,0,36,75,0,0
https://www.yourpropertyguide.com.au/suburbs/modbury-sa-5092/rental-market,suburb rental-market,1,0,55,20,0,0
https://www.yourpropertyguide.com.au/buying-guide?suburb=raceview-qld-4305,other,1,0,100,118,2,0
https://www.yourpropertyguide.com.au/suburbs/mimili-sa-0872,suburb profile,1,0,18,8,0,0
https://www.yourpropertyguide.com.au/rent?suburb=morayfield-qld-4506&propertyType=house,other,1,0,58,3,0,0
https://www.yourpropertyguide.com.au/guides/renters-rights-sa,guides,1,0,82,118,0,0
https://www.yourpropertyguide.com.au/suburbs/grantham-farm-nsw-2765/rental-market,suburb rental-market,1,0,69,14,0,0
https://www.yourpropertyguide.com.au/suburbs/torquay-vic-3228/rental-market,suburb rental-market,1,0,87,45,0,0
https://www.yourpropertyguide.com.au/guides/best-brisbane-suburbs-for-families-2026,guides,1,0,72,62,0,0
https://www.yourpropertyguide.com.au/suburbs/woodville-west-sa-5011,suburb profile,1,0,16,0,0,0
https://www.yourpropertyguide.com.au/suburbs/castle-rock-nsw-2333/schools,suburb schools,1,0,53,9,0,0
https://www.yourpropertyguide.com.au/guides/house-vs-apartment-investment-australia,guides,1,0,39,572,0,0
https://www.yourpropertyguide.com.au/suburbs/cookernup-wa-6219/schools,suburb schools,1,0,17,28,0,0
